alloy,solute,plane,T_C,T_K,wt_solute,xB_bulk,L,seed,A_scale,omega_scale,include_elastic,omega_Jmol,omega_source,gamma0_Fe_plane_Jm2,gamma0_solute_weighted_Jm2,Omega_m2mol,zl,zv,mc_steps,delta_max,delta_final,acceptance_ratio,gamma_mc_Jm2,gamma_Jm2,gamma_polish_improvement_Jm2,ads_monolayers,ads_first2_monolayers,phase,tdb_path,a_Fe_BCC_m,F_L1,yB_mc_L1,yB_L1,F_L2,yB_mc_L2,yB_L2,F_L3,yB_mc_L3,yB_L3,F_L4,yB_mc_L4,yB_L4,F_L5,yB_mc_L5,yB_L5,F_L6,yB_mc_L6,yB_L6,F_L7,yB_mc_L7,yB_L7,F_L8,yB_mc_L8,yB_L8,F_L9,yB_mc_L9,yB_L9,F_L10,yB_mc_L10,yB_L10,term1_Jmol,term2_Jmol,term3_Jmol,term4_Jmol,term5_Jmol,Eel_Jmol,total_Jmol,term1_Jm2,term2_Jm2,term3_Jm2,term4_Jm2,term5_Jm2,Eel_Jm2,total_Jm2,test_type,test_value,case_id
Fe-6.207Mo_wt,MO,100,400.0,673.15,6.207,0.03708831405587855,4,0,0.0,1.0,False,109.9431474362126,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.88344,2.5043651268325657,2.5041532211496675,0.00021190568289819467,-0.03631186019938508,-0.03631184297471432,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,1e-12,0.000976562501,0.0,0.04374369138604278,0.03688822263604278,0.0,0.03428693124210097,0.03707989999210096,0.0,0.04047561714498537,0.037096710894985375,,,,,,,,,,,,,,,,,,,123695.49826033963,185.97048188829493,-1.0025352481476422,-0.006356705715023971,-0.0,0.0,123880.45985027406,2.5004143573951816,0.0037592577701292687,-2.0265519469327718e-05,-1.284961737421462e-07,-0.0,0.0,2.5041532211496675,seed,0,seed|Fe-6.207Mo_wt|100|400.0|0
Fe-6.207Mo_wt,MO,100,400.0,673.15,6.207,0.03708831405587855,4,1,0.0,1.0,False,109.9431474362126,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.88267,2.504334612245909,2.50415322095821,0.0001813912876991175,-0.03631624920344043,-0.03631395664156541,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,1e-12,0.000976562501,0.0,0.03682751521919169,0.036886108969191686,0.0,0.031049555964903663,0.03708471221490366,0.0,0.03962868583497841,0.037089623334978415,,,,,,,,,,,,,,,,,,,123695.49826033963,185.97053876877825,-1.0025352481476422,-0.006423057615213227,-0.0,0.0,123880.45984080265,2.5004143573951816,0.003759258919926789,-2.0265519469327718e-05,-1.2983742905221804e-07,-0.0,0.0,2.50415322095821,seed,1,seed|Fe-6.207Mo_wt|100|400.0|1
Fe-6.207Mo_wt,MO,100,400.0,673.15,6.207,0.03708831405587855,4,2,0.0,1.0,False,109.9431474362126,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.882615,2.5043086278190643,2.504153221173113,0.00015540664595148357,-0.03633409218236495,-0.036324989678741315,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,0.0007537445128164011,0.0009685882628164011,0.0,0.04170726892019938,0.03688305017019938,0.0,0.04530108575901062,0.03707842950901062,0.0,0.04050706484912284,0.037089096099122844,,,,,,,,,,,,,,,,,,,123695.33087933727,186.13478341170074,-0.9992885231808505,-0.006522791906365383,-0.0,0.0,123880.45985143389,2.5004109739101934,0.003762579005694375,-2.0199889290091985e-05,-1.3185348506903948e-07,-0.0,0.0,2.504153221173113,seed,2,seed|Fe-6.207Mo_wt|100|400.0|2
Fe-6.207Mo_wt,MO,100,425.0,698.15,6.207,0.03708831405587855,4,0,0.0,1.0,False,139.7241616052966,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.88486,2.504525527031976,2.5042860140403387,0.00023951299163726958,-0.036194672699385075,-0.036194655474714316,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,1e-12,0.0011328125010000001,0.0,0.04374369138604278,0.03684916013604278,0.0,0.03428693124210097,0.03707989999210096,0.0,0.04047561714498537,0.037096710894985375,,,,,,,,,,,,,,,,,,,123698.77798199061,189.61569496097434,-1.3549484139496952,-0.009613962093435515,-0.0,0.0,123887.02911457555,2.5004806545783427,0.003832943096037484,-2.738929480391541e-05,-1.9433923778927662e-07,-0.0,0.0,2.5042860140403387,seed,0,seed|Fe-6.207Mo_wt|100|425.0|0
Fe-6.207Mo_wt,MO,100,425.0,698.15,6.207,0.03708831405587855,4,1,0.0,1.0,False,139.7241616052966,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.88489,2.5049194269929984,2.5042860141940317,0.0006334127989666705,-0.036230662396651875,-0.03621034390777157,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,1e-12,0.0011328125010000001,0.0,0.025075659202985517,0.036833471702985524,0.0,0.027432315778949466,0.03708075327894946,0.0,0.030317743843927325,0.037075556343927334,,,,,,,,,,,,,,,,,,,123698.77798199061,189.6163331864213,-1.3549484139496952,-0.010244584337211635,-0.0,0.0,123887.02912217875,2.5004806545783427,0.003832955997299804,-2.738929480391541e-05,-2.0708680689734455e-07,-0.0,0.0,2.5042860141940317,seed,1,seed|Fe-6.207Mo_wt|100|425.0|1
Fe-6.207Mo_wt,MO,100,425.0,698.15,6.207,0.03708831405587855,4,2,0.0,1.0,False,139.7241616052966,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.883555,2.5044528825719343,2.5042860154136655,0.00016686715826885745,-0.036216904682364943,-0.03620780217874131,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,0.0007537445128164011,0.0011248382628164012,0.0,0.04170726892019938,0.036843987670199384,0.0,0.04530108575901062,0.03707842950901062,0.0,0.04050706484912284,0.037089096099122844,,,,,,,,,,,,,,,,,,,123698.61060098825,189.77922829941778,-1.3508222275112842,-0.009824546124124823,-0.0,0.0,123887.02918251403,2.5004772710933545,0.0038362488033033713,-2.7305886951915993e-05,-1.9859604051192284e-07,-0.0,0.0,2.5042860154136655,seed,2,seed|Fe-6.207Mo_wt|100|425.0|2
Fe-6.207Mo_wt,MO,100,450.0,723.15,6.207,0.03708831405587855,4,0,0.0,1.0,False,174.94588719723782,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.885915,2.5046786594500006,2.504414860488144,0.00026379896185657614,-0.03607133922504901,-0.03606993257905927,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,1e-12,0.001308593751,0.0,0.03851685178169783,0.036798101781697824,0.0,0.03479898766953959,0.03708414391953958,0.0,0.030001233796227766,0.03709107754622778,,,,,,,,,,,,,,,,,,,123702.46766884795,192.7604027112072,-1.8103888285694925,-0.014534382125925427,-0.0,0.0,123893.40314834847,2.500555238909399,0.0038965110715829233,-3.659569089487553e-05,-2.938019431155332e-07,-0.0,0.0,2.504414860488144,seed,0,seed|Fe-6.207Mo_wt|100|450.0|0
Fe-6.207Mo_wt,MO,100,450.0,723.15,6.207,0.03708831405587855,4,1,0.0,1.0,False,174.94588719723782,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.885495,2.5047235997374004,2.504414860608846,0.00030873912855433616,-0.03606687597764882,-0.03607901048389041,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,1e-12,0.001308593751,0.0,0.043312461376866694,0.03678902387686669,0.0,0.03223133818692253,0.037094619436922535,0.0,0.041859768181076146,0.03709414318107615,,,,,,,,,,,,,,,,,,,123702.46766884795,192.76085900121106,-1.8103888285694925,-0.014984700973054845,-0.0,0.0,123893.40315431962,2.500555238909399,0.0038965202951528415,-3.659569089487553e-05,-3.029048104518869e-07,-0.0,0.0,2.504414860608846,seed,1,seed|Fe-6.207Mo_wt|100|450.0|1
Fe-6.207Mo_wt,MO,100,450.0,723.15,6.207,0.03708831405587855,4,2,0.0,1.0,False,174.94588719723782,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.8846,2.504650544151935,2.5044148606206544,0.0002356835312804506,-0.036080804885424464,-0.03608437609784944,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,1e-12,0.001308593751,0.0,0.042818814512907664,0.03678365826290766,0.0,0.03450637921941083,0.03708450421941082,0.0,0.03887303885477125,0.03709569510477125,,,,,,,,,,,,,,,,,,,123702.46766884795,192.76113244932867,-1.8103888285694925,-0.015257564939151322,-0.0,0.0,123893.40315490378,2.500555238909399,0.0038965258227072704,-3.659569089487553e-05,-3.084205566838755e-07,-0.0,0.0,2.5044148606206544,seed,2,seed|Fe-6.207Mo_wt|100|450.0|2
Fe-6.207Mo_wt,MO,100,475.0,748.15,6.207,0.03708831405587855,4,0,0.0,1.0,False,216.1662398979425,CALPHAD_LSQ,2.5,2.924301972231416,49470.0,0,4,200000,1.5,0.2,0.886195,2.504744571534994,2.5045393059773913,0.0002052655576028073,-0.03593537906156861,-0.03593380025257441,BCC_A2,C:\Users\dwack\Documents\Python Scripts\varios\steel_database_fix.tdb,2.866e-10,0.0,1e-12,0.001503906251,0.0,0.03628970285818269,0.03673892160818269,0.0,0.034377038269601645,0.037091882019601646,0.0,0.03845035478316125,0.03708316728316125,,,,,,,,,,,,,,,,,,,123706.5673209117,195.4069456974186,-2.393301468842149,-0.02149843874645708,-0.0,0.0,123899.55946670154,2.5006381103883504,0.003950009009448526,-4.837884513527691e-05,-4.345752728210446e-07,-0.0,0.0,2.5045393059773913,seed,0,seed|Fe-6.207Mo_wt|100|475.0|0
